Category,Month,Year,PdDistrict,X,Y,Location
ASSAULT,8,2016,INGLESIDE,-122.4200841,37.70831097,"(37.7083109744591, -122.420084075242)"
ASSAULT,2,2016,TARAVAL,-122.4656927,37.70831131,"(37.7083113093416, -122.465692704424)"
ASSAULT,2,2016,TARAVAL,-122.4656927,37.70831131,"(37.7083113093416, -122.465692704424)"
ASSAULT,3,2016,INGLESIDE,-122.4520433,37.70837748,"(37.7083774785138, -122.452043321077)"
ASSAULT,2,2016,INGLESIDE,-122.4534612,37.70847539,"(37.7084753872645, -122.45346119547)"
ASSAULT,7,2016,INGLESIDE,-122.4534612,37.70847539,"(37.7084753872645, -122.45346119547)"
ASSAULT,7,2016,INGLESIDE,-122.4534612,37.70847539,"(37.7084753872645, -122.45346119547)"
ASSAULT,5,2016,INGLESIDE,-122.420452,37.70853277,"(37.7085327739224, -122.420451998844)"
ASSAULT,8,2016,TARAVAL,-122.4602432,37.70854346,"(37.7085434606504, -122.460243205079)"
ASSAULT,8,2016,TARAVAL,-122.4602432,37.70854346,"(37.7085434606504, -122.460243205079)"
ASSAULT,6,2016,INGLESIDE,-122.4448406,37.70858328,"(37.7085832781911, -122.444840591619)"
ASSAULT,8,2016,INGLESIDE,-122.4122329,37.70861726,"(37.7086172574543, -122.41223289143)"
ASSAULT,6,2016,INGLESIDE,-122.4053857,37.70864736,"(37.7086473552327, -122.405385735969)"
ASSAULT,1,2016,INGLESIDE,-122.4053857,37.70864736,"(37.7086473552327, -122.405385735969)"
ASSAULT,4,2016,INGLESIDE,-122.4053857,37.70864736,"(37.7086473552327, -122.405385735969)"
ASSAULT,12,2016,INGLESIDE,-122.4053857,37.70864736,"(37.7086473552327, -122.405385735969)"
ASSAULT,8,2016,TARAVAL,-122.4584799,37.70868677,"(37.7086867675388, -122.458479919748)"
ASSAULT,3,2016,INGLESIDE,-122.4538605,37.70876028,"(37.7087602783686, -122.453860524345)"
ASSAULT,2,2016,INGLESIDE,-122.4538605,37.70876028,"(37.7087602783686, -122.453860524345)"
ASSAULT,5,2016,INGLESIDE,-122.423628,37.70880618,"(37.7088061846068, -122.423628041297)"
ASSAULT,8,2016,INGLESIDE,-122.423628,37.70880618,"(37.7088061846068, -122.423628041297)"
ASSAULT,2,2016,INGLESIDE,-122.423628,37.70880618,"(37.7088061846068, -122.423628041297)"
ASSAULT,5,2016,INGLESIDE,-122.423628,37.70880618,"(37.7088061846068, -122.423628041297)"
ASSAULT,5,2016,INGLESIDE,-122.423628,37.70880618,"(37.7088061846068, -122.423628041297)"
ASSAULT,2,2016,INGLESIDE,-122.4071831,37.70880953,"(37.7088095309172, -122.407183080746)"
ASSAULT,1,2016,BAYVIEW,-122.4051095,37.70885631,"(37.7088563076781, -122.405109485404)"
ASSAULT,5,2016,BAYVIEW,-122.4051095,37.70885631,"(37.7088563076781, -122.405109485404)"
ASSAULT,8,2016,INGLESIDE,-122.4178519,37.70887008,"(37.7088700822831, -122.417851947932)"
ASSAULT,1,2016,INGLESIDE,-122.4178519,37.70887008,"(37.7088700822831, -122.417851947932)"
ASSAULT,7,2016,INGLESIDE,-122.4450855,37.70890026,"(37.7089002573584, -122.4450855372)"
ASSAULT,7,2016,INGLESIDE,-122.4450855,37.70890026,"(37.7089002573584, -122.4450855372)"
ASSAULT,7,2016,INGLESIDE,-122.4568442,37.7089054,"(37.7089054042414, -122.456844244926)"
ASSAULT,4,2016,INGLESIDE,-122.4568442,37.7089054,"(37.7089054042414, -122.456844244926)"
ASSAULT,4,2016,INGLESIDE,-122.4568442,37.7089054,"(37.7089054042414, -122.456844244926)"
ASSAULT,4,2016,INGLESIDE,-122.4568442,37.7089054,"(37.7089054042414, -122.456844244926)"
ASSAULT,7,2016,INGLESIDE,-122.4270084,37.70894346,"(37.7089434577722, -122.427008403376)"
ASSAULT,7,2016,INGLESIDE,-122.4270084,37.70894346,"(37.7089434577722, -122.427008403376)"
ASSAULT,1,2016,INGLESIDE,-122.4501029,37.70894564,"(37.7089456366141, -122.450102910761)"
ASSAULT,1,2016,INGLESIDE,-122.4501029,37.70894564,"(37.7089456366141, -122.450102910761)"
ASSAULT,1,2016,INGLESIDE,-122.4501029,37.70894564,"(37.7089456366141, -122.450102910761)"
ASSAULT,4,2016,INGLESIDE,-122.4228563,37.70897681,"(37.708976808003, -122.422856288288)"
ASSAULT,4,2016,INGLESIDE,-122.4228563,37.70897681,"(37.708976808003, -122.422856288288)"
ASSAULT,11,2016,INGLESIDE,-122.4228563,37.70897681,"(37.708976808003, -122.422856288288)"
ASSAULT,11,2016,INGLESIDE,-122.4228563,37.70897681,"(37.708976808003, -122.422856288288)"
ASSAULT,5,2016,INGLESIDE,-122.443802,37.70899564,"(37.7089956381314, -122.443802039073)"
ASSAULT,12,2016,INGLESIDE,-122.443802,37.70899564,"(37.7089956381314, -122.443802039073)"
ASSAULT,4,2016,TARAVAL,-122.4597863,37.70902432,"(37.7090243187167, -122.459786326301)"
ASSAULT,4,2016,INGLESIDE,-122.4196574,37.70909492,"(37.709094924139, -122.419657380352)"
ASSAULT,11,2016,INGLESIDE,-122.4196574,37.70909492,"(37.709094924139, -122.419657380352)"
ASSAULT,2,2016,TARAVAL,-122.4596966,37.70910789,"(37.7091078884907, -122.459696575376)"
ASSAULT,5,2016,BAYVIEW,-122.4013995,37.70911172,"(37.7091117203937, -122.401399497577)"
ASSAULT,5,2016,INGLESIDE,-122.4518185,37.70915421,"(37.7091542140065, -122.45181851562)"
ASSAULT,5,2016,INGLESIDE,-122.4518185,37.70915421,"(37.7091542140065, -122.45181851562)"
ASSAULT,5,2016,INGLESIDE,-122.4518185,37.70915421,"(37.7091542140065, -122.45181851562)"
ASSAULT,5,2016,INGLESIDE,-122.4518185,37.70915421,"(37.7091542140065, -122.45181851562)"
ASSAULT,9,2016,INGLESIDE,-122.4518185,37.70915421,"(37.7091542140065, -122.45181851562)"
ASSAULT,12,2016,INGLESIDE,-122.4233516,37.70925206,"(37.7092520553473, -122.423351630073)"
ASSAULT,6,2016,TARAVAL,-122.4703359,37.70927019,"(37.7092701941609, -122.470335869061)"
ASSAULT,12,2016,INGLESIDE,-122.425716,37.70931441,"(37.709314407903, -122.425715986945)"
ASSAULT,7,2016,INGLESIDE,-122.4124187,37.70939444,"(37.7093944394649, -122.412418664281)"
ASSAULT,7,2016,INGLESIDE,-122.4124187,37.70939444,"(37.7093944394649, -122.412418664281)"
ASSAULT,7,2016,INGLESIDE,-122.4124187,37.70939444,"(37.7093944394649, -122.412418664281)"
ASSAULT,7,2016,TARAVAL,-122.461491,37.70940543,"(37.7094054254619, -122.461491031652)"
ASSAULT,5,2016,INGLESIDE,-122.4172178,37.70940619,"(37.7094061937856, -122.417217762603)"
ASSAULT,5,2016,INGLESIDE,-122.4172178,37.70940619,"(37.7094061937856, -122.417217762603)"
ASSAULT,7,2016,INGLESIDE,-122.411933,37.70945469,"(37.7094546927289, -122.411932996797)"
ASSAULT,10,2016,INGLESIDE,-122.4132376,37.70950679,"(37.7095067930494, -122.41323759008)"
ASSAULT,6,2016,INGLESIDE,-122.4421846,37.70953817,"(37.7095381688924, -122.442184590788)"
ASSAULT,2,2016,INGLESIDE,-122.4576693,37.70954095,"(37.7095409511491, -122.457669348077)"
ASSAULT,3,2016,INGLESIDE,-122.4220235,37.70962533,"(37.7096253280817, -122.422023475946)"
ASSAULT,3,2016,INGLESIDE,-122.4220235,37.70962533,"(37.7096253280817, -122.422023475946)"
ASSAULT,3,2016,INGLESIDE,-122.4220235,37.70962533,"(37.7096253280817, -122.422023475946)"
ASSAULT,6,2016,INGLESIDE,-122.4220235,37.70962533,"(37.7096253280817, -122.422023475946)"
ASSAULT,6,2016,INGLESIDE,-122.4220235,37.70962533,"(37.7096253280817, -122.422023475946)"
ASSAULT,6,2016,INGLESIDE,-122.4220235,37.70962533,"(37.7096253280817, -122.422023475946)"
ASSAULT,12,2016,INGLESIDE,-122.4220235,37.70962533,"(37.7096253280817, -122.422023475946)"
ASSAULT,5,2016,INGLESIDE,-122.4220235,37.70962533,"(37.7096253280817, -122.422023475946)"
ASSAULT,8,2016,INGLESIDE,-122.4220235,37.70962533,"(37.7096253280817, -122.422023475946)"
ASSAULT,9,2016,INGLESIDE,-122.4180641,37.70964419,"(37.7096441917902, -122.418064096451)"
ASSAULT,5,2016,INGLESIDE,-122.4503415,37.70965634,"(37.7096563408219, -122.450341542031)"
ASSAULT,2,2016,TARAVAL,-122.4625546,37.70965743,"(37.7096574311398, -122.462554643765)"
ASSAULT,2,2016,TARAVAL,-122.4625546,37.70965743,"(37.7096574311398, -122.462554643765)"
ASSAULT,12,2016,INGLESIDE,-122.449675,37.70976253,"(37.709762526111, -122.449674980499)"
ASSAULT,6,2016,TARAVAL,-122.4626258,37.70984168,"(37.709841683916, -122.462625782461)"
ASSAULT,6,2016,TARAVAL,-122.4626258,37.70984168,"(37.709841683916, -122.462625782461)"
ASSAULT,6,2016,TARAVAL,-122.4626258,37.70984168,"(37.709841683916, -122.462625782461)"
ASSAULT,7,2016,TARAVAL,-122.4574412,37.70984278,"(37.7098427794823, -122.457441212767)"
ASSAULT,9,2016,INGLESIDE,-122.4497292,37.70986359,"(37.7098635927288, -122.449729173956)"
ASSAULT,11,2016,INGLESIDE,-122.405562,37.70987096,"(37.7098709643339, -122.405561964925)"
ASSAULT,11,2016,INGLESIDE,-122.405562,37.70987096,"(37.7098709643339, -122.405561964925)"
ASSAULT,10,2016,INGLESIDE,-122.405562,37.70987096,"(37.7098709643339, -122.405561964925)"
ASSAULT,10,2016,INGLESIDE,-122.4146464,37.70990012,"(37.7099001161908, -122.414646434056)"
ASSAULT,7,2016,INGLESIDE,-122.4542663,37.70990435,"(37.7099043514832, -122.454266269899)"
ASSAULT,7,2016,INGLESIDE,-122.4542663,37.70990435,"(37.7099043514832, -122.454266269899)"
ASSAULT,7,2016,INGLESIDE,-122.4542663,37.70990435,"(37.7099043514832, -122.454266269899)"
ASSAULT,7,2016,INGLESIDE,-122.4542663,37.70990435,"(37.7099043514832, -122.454266269899)"
ASSAULT,8,2016,INGLESIDE,-122.449309,37.70994607,"(37.7099460706736, -122.44930898064)"
ASSAULT,11,2016,INGLESIDE,-122.4193484,37.70994916,"(37.7099491573125, -122.419348416119)"
ASSAULT,7,2016,INGLESIDE,-122.4170845,37.70995248,"(37.7099524830823, -122.417084499054)"
ASSAULT,4,2016,INGLESIDE,-122.4170845,37.70995248,"(37.7099524830823, -122.417084499054)"
ASSAULT,4,2016,INGLESIDE,-122.4170845,37.70995248,"(37.7099524830823, -122.417084499054)"
ASSAULT,12,2016,INGLESIDE,-122.4170845,37.70995248,"(37.7099524830823, -122.417084499054)"
ASSAULT,12,2016,INGLESIDE,-122.4170845,37.70995248,"(37.7099524830823, -122.417084499054)"
ASSAULT,3,2016,BAYVIEW,-122.3988039,37.71000605,"(37.7100060540269, -122.398803886349)"
ASSAULT,11,2016,INGLESIDE,-122.4202044,37.71001321,"(37.7100132064954, -122.420204374467)"
ASSAULT,11,2016,INGLESIDE,-122.4202044,37.71001321,"(37.7100132064954, -122.420204374467)"
ASSAULT,5,2016,INGLESIDE,-122.4132729,37.71001573,"(37.7100157339661, -122.41327294886)"
ASSAULT,8,2016,INGLESIDE,-122.4262221,37.71001904,"(37.710019035369, -122.426222140045)"
ASSAULT,8,2016,INGLESIDE,-122.4262221,37.71001904,"(37.710019035369, -122.426222140045)"
ASSAULT,12,2016,INGLESIDE,-122.4064091,37.71010955,"(37.7101095533741, -122.406409106732)"
ASSAULT,9,2016,INGLESIDE,-122.4065394,37.71014629,"(37.7101462913072, -122.406539422372)"
ASSAULT,9,2016,INGLESIDE,-122.4065394,37.71014629,"(37.7101462913072, -122.406539422372)"
ASSAULT,4,2016,INGLESIDE,-122.4381368,37.71014641,"(37.7101464061867, -122.438136814106)"
ASSAULT,4,2016,INGLESIDE,-122.4381368,37.71014641,"(37.7101464061867, -122.438136814106)"
ASSAULT,5,2016,INGLESIDE,-122.4306063,37.71016454,"(37.7101645445407, -122.430606335907)"
ASSAULT,5,2016,INGLESIDE,-122.4306063,37.71016454,"(37.7101645445407, -122.430606335907)"
ASSAULT,2,2016,INGLESIDE,-122.4444675,37.7102273,"(37.7102272961478, -122.444467489399)"
ASSAULT,12,2016,INGLESIDE,-122.453257,37.71024399,"(37.7102439890666, -122.453257010447)"
ASSAULT,9,2016,INGLESIDE,-122.4230983,37.71030452,"(37.7103045151288, -122.423098270217)"
ASSAULT,11,2016,INGLESIDE,-122.4115275,37.7103678,"(37.7103677981028, -122.41152745831)"
ASSAULT,7,2016,INGLESIDE,-122.4458929,37.71039281,"(37.7103928092309, -122.445892859013)"
ASSAULT,5,2016,INGLESIDE,-122.4074455,37.71039323,"(37.7103932288259, -122.407445487849)"
ASSAULT,5,2016,INGLESIDE,-122.4231159,37.71041464,"(37.7104146366126, -122.423115904861)"
ASSAULT,12,2016,INGLESIDE,-122.4231159,37.71041464,"(37.7104146366126, -122.423115904861)"
ASSAULT,2,2016,TARAVAL,-122.4606227,37.71047799,"(37.7104779877599, -122.460622701872)"
ASSAULT,11,2016,INGLESIDE,-122.4544097,37.71051711,"(37.7105171083654, -122.454409729267)"
ASSAULT,11,2016,INGLESIDE,-122.4544097,37.71051711,"(37.7105171083654, -122.454409729267)"
